location,time,temperature_2m,relative_humidity_2m,surface_pressure,wind_speed_10m
"New Delhi, India",2026-07-27T00:00,29.5,71,993.9,10.4
"New Delhi, India",2026-07-27T01:00,27.2,72,993.2,7.2
"New Delhi, India",2026-07-27T02:00,28.1,73,994.1,9.9
"New Delhi, India",2026-07-27T03:00,28.0,79,993.6,5.9
"New Delhi, India",2026-07-27T04:00,28.4,72,994.1,7.9
"New Delhi, India",2026-07-27T05:00,28.4,73,994.5,7.6
"New Delhi, India",2026-07-27T06:00,28.9,74,993.6,8.9
"New Delhi, India",2026-07-27T07:00,30.4,75,995.6,7.0
"New Delhi, India",2026-07-27T08:00,30.8,71,993.7,10.8
"New Delhi, India",2026-07-27T09:00,32.2,70,992.0,9.6
"New Delhi, India",2026-07-27T10:00,33.9,72,992.2,8.6
"New Delhi, India",2026-07-27T11:00,34.5,71,994.0,8.6
"New Delhi, India",2026-07-27T12:00,35.7,69,993.3,9.6
"New Delhi, India",2026-07-27T13:00,34.9,69,992.4,6.4
"New Delhi, India",2026-07-27T14:00,36.2,73,992.0,10.4
"New Delhi, India",2026-07-27T15:00,35.3,69,993.2,9.5
"New Delhi, India",2026-07-27T16:00,36.9,71,992.6,6.8
"New Delhi, India",2026-07-27T17:00,36.5,68,991.5,5.2
"New Delhi, India",2026-07-27T18:00,34.6,72,993.2,9.7
"New Delhi, India",2026-07-27T19:00,34.1,71,993.8,7.2
"New Delhi, India",2026-07-27T20:00,33.7,69,992.6,7.0
"New Delhi, India",2026-07-27T21:00,31.4,74,992.4,8.0
"New Delhi, India",2026-07-27T22:00,31.5,74,993.8,7.8
"New Delhi, India",2026-07-27T23:00,29.8,74,991.0,4.4
"New Delhi, India",2026-07-28T00:00,28.3,72,993.5,5.7
"New Delhi, India",2026-07-28T01:00,28.3,79,992.6,9.8
"New Delhi, India",2026-07-28T02:00,27.5,75,991.9,7.2
"New Delhi, India",2026-07-28T03:00,28.6,70,993.5,8.6
"New Delhi, India",2026-07-28T04:00,27.7,71,993.1,6.7
"New Delhi, India",2026-07-28T05:00,28.7,75,994.9,7.4
"New Delhi, India",2026-07-28T06:00,28.5,76,993.3,11.4
"New Delhi, India",2026-07-28T07:00,30.7,74,994.8,5.0
"New Delhi, India",2026-07-28T08:00,30.7,70,992.5,4.6
"New Delhi, India",2026-07-28T09:00,32.7,71,991.2,5.5
"New Delhi, India",2026-07-28T10:00,33.6,73,995.4,15.3
"New Delhi, India",2026-07-28T11:00,34.7,67,990.4,8.7
"New Delhi, India",2026-07-28T12:00,34.7,69,992.3,7.6
"New Delhi, India",2026-07-28T13:00,36.7,69,992.8,5.4
"New Delhi, India",2026-07-28T14:00,35.2,68,992.9,12.4
"New Delhi, India",2026-07-28T15:00,36.6,71,992.4,5.0
"New Delhi, India",2026-07-28T16:00,35.7,67,995.6,5.9
"New Delhi, India",2026-07-28T17:00,36.5,66,994.1,9.0
"New Delhi, India",2026-07-28T18:00,35.1,70,992.2,9.1
"New Delhi, India",2026-07-28T19:00,34.1,67,991.5,8.4
"New Delhi, India",2026-07-28T20:00,34.5,71,992.9,8.7
"New Delhi, India",2026-07-28T21:00,33.2,72,992.5,10.8
"New Delhi, India",2026-07-28T22:00,31.5,77,993.2,4.9
"New Delhi, India",2026-07-28T23:00,29.2,79,995.1,7.6
"New Delhi, India",2026-07-29T00:00,29.0,79,991.7,5.8
"New Delhi, India",2026-07-29T01:00,29.0,73,993.0,7.6
"New Delhi, India",2026-07-29T02:00,28.4,79,993.1,9.6
"New Delhi, India",2026-07-29T03:00,26.6,76,992.0,5.0
"New Delhi, India",2026-07-29T04:00,27.5,75,994.1,4.7
"New Delhi, India",2026-07-29T05:00,28.6,73,992.6,10.5
"New Delhi, India",2026-07-29T06:00,29.6,78,992.8,6.3
"New Delhi, India",2026-07-29T07:00,30.0,75,993.2,5.3
"New Delhi, India",2026-07-29T08:00,31.2,74,996.0,12.7
"New Delhi, India",2026-07-29T09:00,31.7,72,991.2,6.5
"New Delhi, India",2026-07-29T10:00,33.6,75,992.1,6.4
"New Delhi, India",2026-07-29T11:00,32.9,71,991.7,6.7
"New Delhi, India",2026-07-29T12:00,34.6,70,990.9,4.3
